soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
salată	oțet	N	salată	oțet	Preparat culinar făcut din anumite legume fierte sau crude, cu adaos de oțet, zeamă de lămâie și untdelemn, care se servește ca aperitiv sau ca garnitură.	Lichid cu gust acru, obținut prin fermentarea acetică a vinului, a berii etc. sau prin diluarea cu apă a acidului acetic concentrat, întrebuințat în alimentație drept condiment sau conservant.	1.68	1.73
floare	bulb	N	floare	bulb	Parte a plantei care cuprinde organele de reproducere sexuală și care are de obicei o corolă frumoasă și variat colorată.	tulpină subterană formată dintr-un înveliș membranos, din mai multe foi cărnoase	2.42	2.38
nor	ceață	N	nor	ceață	Masă densă și mobilă de praf, de fum etc.	Ceață densă care se formează îndeosebi dimineața și seara, reducând mult vizibilitatea	3.0	2.8
șofer	pilot	N	conducător,șofer	pilot,pilot_de_curse	Persoană care conduce un automobil sau un autobuz.	Șofer care conduce mașini de curse în competiții	3.42	4.15
zahăr	miere	N	zahăr	miere	Specie de zaharoză de culoare albă cristalizată, ușor solubilă în apă, cu gust dulce și plăcut, obținută mai ales din sfecla de zahăr sau din trestia de zahăr și constituind unul din produsele alimentare de bază	Substanță semilichidă, gălbuie, dulce și aromată, foarte bogată în zaharuri, vitamine și enzime, culeasă și produsă de albine din nectarul florilor.	3.0	2.95
corp	umăr	N	corp,trunchi,tors	umăr	parte superioară a corpului uman, fără cap și fără membre	Parte a corpului omenesc corespunzătoare articulației dintre mână și trunchi	3.0	1.85
idee	imagine	N	gând,idee	imagine	rezultatul procesului de gândire;	Reflectare de tip senzorial a unui obiect în mintea omenească sub forma unor senzații, percepții sau reprezentări	2.68	2.45
tată	frate	N	taică,tată	frate	Bărbat care are copii	persoană considerată în raport cu altă persoană născută din aceiași părinți sau numai din același tată ori din aceeași mamă	2.42	1.52
lună	planetă	N	satelit,lună	planetă	orice satelit natural natural al unei planete	Corp ceresc fără lumină proprie, satelit al Soarelui, care se vede pe cer sub forma unui punct luminos ca urmare a reflectării luminii solare	2.68	1.98
bal	costumație	N	bal	costum,costumație	Petrecere (publică) cu dans, organizată seara sau noaptea.	îmbrăcăminte a actorilor într-o piesă sau la un bal mascat	1.19	2.38
bară	gard	N	bară	gard	Barieră care desparte pe judecători de avocați și de împricinați	Construcție de lemn, de metal, de zidărie etc. care împrejmuiește o curte, un teren, o gradină etc.	2.68	1.63
cameră	pat	N	cameră	pat	Tub de cauciuc unit la capete, care se umflă cu aer și care se așează înăuntrul anvelopei, pe roata unor vehicule	parte plana a unei prese de tipar, pe care se pune forma de tipărit în ultim a etapă a producerii unui ziar, a unei reviste sau a unei cărți	2.0	1.92
floare	tufiș	N	floare	desiș,hătiș,tufăriș,tufiș,tufărie	Orice plantă (erbacee) care face flori colorate	Desiș de tufe sau de arbuști	1.3	1.32
os	genunchi	N	os	genunchi	Element de bază al scheletului vertebratelor, caracterizat prin structura lui dură, solidă și rezistentă, de culoare albă	Parte a piciorului (la oameni și la unele animale) care cuprinde regiunea articulației femurului cu tibia (incluzând și rotula).	2.0	2.2
braț	genunchi	N	braț,mână	genunchi	Segment cuprins între cot și umăr al membrului superior al corpului omenesc; partea de la umăr până la încheietura mâinii	Parte a piciorului (la oameni și la unele animale) care cuprinde regiunea articulației femurului cu tibia (incluzând și rotula).	2.0	1.17
pisică	iepure	N	pisică	iepure	Pisică sălbatică; specie de pisică, mai mare decât aceasta, cu blana roșcată-cenușie cu dungi negre, care trăiește în pădure.	animal din genul de mamifere din ordinul rozătoarelor, cu urechile lungi, cu doi dinți incisivi suplimentari pe falca superioară, cu picioarele dinapoi mai lungi decât cele dinainte și cu coada foarte scurtă	2.0	0.95
carne	sandviș	N	carne	sandviș	Bucată din țesutul muscular al animalelor tăiate, întrebuințată ca aliment.	Felie de pâine (unsă cu unt) cu un aliment rece (șuncă, salam, brânză etc.) peste care se așează adesea a doua felie de pâine.	1.54	1.23
credință	concept	N	încredințare,certitudine,convingere,credință,siguranță	concept,idee,noțiune	orice conținut cognitiv considerat ca adevărat;	Idee generală care reflectă just realitatea;	2.68	4.12
inteligență	intuiție	N	inteligență,pricepere,minte	intuiție	Capacitatea de a înțelege ușor și bine, de a sesiza ceea ce este esențial, de a rezolva situații sau probleme noi pe baza experienței acumulate anterior	Descoperire bruscă, neașteptată, a unui adevăr, a unei soluții etc	2.19	4.03
atenție	interes	N	atenție,grijă,interes,preocupare	atenție,grijă,interes,preocupare	Interes deosebit, preocupare pentru cineva sau ceva, atenție acordată unei ființe, unei probleme	Interes deosebit, preocupare pentru cineva sau ceva, atenție acordată unei ființe, unei probleme	4.0	6.32
atitudine	încredere	N	comportament,comportare,conduită,purtare,ținută,atitudine	încredere	Fel de a se purta al unei persoane față de altele	calitatea de a avea încredere, a fi pe deplin convins de onestitatea și caracterul demn de încredere al altora	3.0	2.92
ceartă	înțelegere	N	ceartă,conflict,dispută,înverșunare	înțelegere,cunoaștere,cogniție	Schimb de cuvinte aspre între două sau mai multe persoane	facultatea de a cunoaște	2.19	0.13
adâncime	magnitudine	N	adânc,adâncime,afund,afunzime	magnitudine	distanță de la suprafața sau de la gura unei adâncituri sau ape până în fundul ei	proprietatea unei mărimi sau dimensiuni	3.0	2.87
câștigător	candidat	N	câștigător	candidat,pretendent	Persoană care câștigă ceva, de obicei permanent	Persoană care candidează	3.0	1.73
taxă	plată	N	taxă	plată	Sumă de bani percepută pentru anumite mărfuri, la încheierea unor contracte, în schimbul unor servicii sau pentru dobândirea anumitor drepturi.	Faptul de a plăti o sumă de bani datorată	2.42	6.25
biblie	imn	N	biblie	imn,odă	carte considerată o autoritate în domeniu	poezie lirică în care se exprimă sentimente de admirație, de preamărire față de persoane, fapte eroice etc.	1.19	0.88
ieșire	ușă	N	ieșire	ușă,intrare,număr	Loc (amenajat) prin care se iese dintr-o încăpere, dintr-o curte etc.	spațiu de locuit sau de lucru (de obicei numerotat de-a lungul unei străzi)	2.42	4.05
bărbat	santinelă	N	bărbat	gardian,păzitor,paznic,santinelă,străjer,strajă	Persoană adultă de sex masculin.	Persoană însărcinată cu paza sau cu supravegherea unui local, a unei instituții, a unui oraș etc	2.19	1.2
culoar	sală	N	coridor,culoar,gang,galerie	ateneu,sală	Loc de trecere îngust (și lung), care leagă încăperile unei clădiri și din care se intră în camerele aceluiași apartament sau ale aceluiași etaj	Denumire dată unor instituții cu caracter social-cultural :;	2.0	1.42
whiskey	gin	N	whiskey,whisky	gin	Băutură cu un mare procent de alcool obținută prin distilarea cerealelor în condiții speciale	Băutură alcoolică obținută prin distilarea mustului fermentat de cereale, în care s-au pus boabe de ienupăr	3.0	2.87
sânge	măduvă	N	sânge	măduvă	Substanță lichidă de culoare roșie, compusă din plasmă și din globule (albe și roșii), care circulă prin vene și artere, asigurând nutriția și oxigenarea organismului la animalele superioare.	Substanță moale, de culoare gălbuie sau roșie, aflată în canalul oaselor, care ajută la formarea sângelui și a țesutului osos	1.42	1.85
podea	punte	N	pardoseală,podea	punte	Înveliș care acoperă planșeul unei încăperi, confecționat din diferite materiale (scândură, piatră, cărămidă etc.)	Planșeu metalic sau de lemn, orizontal, care închide corpul unei nave la partea superioară sau care compartimentează nava pe nivele.	2.68	3.02
acoperiș	podea	N	înveliș,învelitoare,acoperământ,acoperiș	podea	Ceea ce servește la învelit	Înveliș, strat de scânduri, de mozaic, de asfalt, de ciment etc., așezate pe planșeul unei încăperi sau al unui spațiu pe care se circulă.	2.68	0.47
ușă	podea	N	ușă,intrare,număr	podea	spațiu de locuit sau de lucru (de obicei numerotat de-a lungul unei străzi)	Înveliș, strat de scânduri, de mozaic, de asfalt, de ciment etc., așezate pe planșeul unei încăperi sau al unui spațiu pe care se circulă.	2.42	0.67
umăr	cap	N	umăr	cap	Parte a corpului omenesc corespunzătoare articulației dintre mână și trunchi	capăt rotunjit al unui os, care pătrunde în articulație	2.68	0.97
mașină	trăsură	N	locomotivă,mașină	caretă,diligență,trăsură	Vehicul motor de cale ferată, cu sursă de energie proprie sau străină, folosind pentru a remorca și a deplasa vagoanele.	Echipaj cu patru cai și un singur vizitiu	2.19	1.52
cot	gleznă	N	cot	încheietura_piciorului,gleznă	articulație între antebraț și partea superioară a mâinii	parte a membrului inferior care cuprinde porțiunea articulației tibiei cu tarsul	2.42	0.85
bunăstare	faimă	N	bunăstare,prosperitate,bogăție,belșug	faimă,notorietate,prestigiu,reputație	starea de a fi bogat, de a avea o cantitate foarte mare de bani și de bunuri materiale.	Autoritate morală, considerație, influență de care se bucură cineva sau ceva	2.0	2.17
necaz	rușine	N	necaz,neplăcere,supărare	rușine	Ceea ce provoacă cuiva o suferință, durere	Motiv de a se simți rușinat	3.42	2.33
comunicare	conversație	N	comunicare	conversație	Ceea ce este comunicat de către sau între oameni	folosirea vorbirii pentru realizarea informală a unui schimb de idei, de informații etc.	2.68	7.23
poluare	atmosferă	N	poluare,viciere	atmosferă,ambianță	stare nedorită a mediului natural în care acesta este contaminat de substanțe dăunătoare ca urmare a activității omului	Stare de spirit care se creează în jurul cuiva sau a ceva.	2.68	2.08
anatomie	biologie	N	anatomie,anatomie_generală	biologie	Știință care studiază structura ființelor (animale sau vegetale) și a raporturilor dintre diferite organe constitutive.	știința organismelor vii, animale și vegetale.;	3.0	3.93
colegiu	profesie	N	colegiu	îndeletnicire,carieră,meserie,ocupație,profesiune,profesie	conducerea unui colegiu și studenții care sunt înscriși	Ocupație, îndeletnicire cu caracter permanent, prin care o faci pentru a câștiga bani	1.54	1.98
carte	subiect	N	bilet,carte,carte_poștală	subiect,temă	Bilet, scrisoare, carte de vizită, ilustrată, special imprimate, prin care cineva este felicitat.;	Chestiune, temă despre care vorbește sau scrie cineva	2.19	1.98
formulă	ecuație	N	expresie,formulă	ecuație	Grup de numere, litere etc. legate între ele prin simboluri de operații matematice (adunare, înmulțire etc.).	Relație matematică între mai multe mărimi cunoscute și necunoscute, valabilă numai pentru anumite valori ale mărimilor necunoscute	3.0	5.03
carte	informație	N	bilet,carte,carte_poștală	informație	Bilet, scrisoare, carte de vizită, ilustrată, special imprimate, prin care cineva este felicitat.;	mesaj recepționat și înțeles	2.19	3.87
băiat	partener	N	băiat	partener	Copil de sex bărbătesc	Fiecare dintre persoanele care formează împreună un cuplu, un grup, o societate, o asociație etc., considerată în raport cu celelalte persoane de cuplu, grup etc	2.68	3.05
cer	univers	N	cer,paradis,rai,eden	cosmos,lume,univers	Loc plin de încântare și de fericire unde, potrivit credințelor religioase, ar ajunge după moarte sufletele celor care respectă preceptele religiei 	circumstanțe, stări de fapte, lucruri luate în calcul într + o discuție sau dezbatere	1.68	3.08
populație	oameni	N	lume,mulțime,oameni,popor,populație,public	lume,mulțime,oameni,popor,populație,public	Totalitatea locuitorilor unei țări, ai unei regiuni, ai unui oraș	Totalitatea locuitorilor unei țări, ai unei regiuni, ai unui oraș	4.0	6.63
colegiu	clasă	N	colegiu	clasă,grupă	conducerea unui colegiu și studenții care sunt înscriși	Unitate organizatorică de bază în sistemul învățământului, compusă dintr-un număr de elevi care au aceeași vârstă, o pregătire școlară egală și învață împreună în cursul unui an	2.42	2.45
șef	primar	N	șef	primar	Persoană care deține controlul și ia deciziile.	președinte al comitetului executiv al consiliului popular, municipal, orășenesc sau comunal	2.68	3.02
rabin	pastor	N	rabin	pastor	Conducător religios al unei comunități mozaice.	Preot protestant	2.42	4.47
metru	inch	N	metru	inch,țol	Unitate fundamentală de măsură pentru lungime din sistemul metric.	unitate de măsură pentru lungimi, cu 2, 54 cm, în Anglia și SUA.	2.68	3.55
poliester	bumbac	N	poliester	bumbac	material textil din fibre sintetice	Fibră textilă obținută, prin egrenare, de pe semințele bumbacului.;	3.0	1
avocat	bancher	N	avocat,exponent	bancher	Persoană care reprezintă, apără și pledează pentru o cauză sau o idee	(La unele jocuri de cărți) Persoană care conduce jocul și dispune de o sumă suficientă de bani spre a acoperi mizele celorlalți jucători	2.68	0.72
vioară	instrument	N	scripcă,vioară,violină	instrument	Instrument muzical alcătuit dintr-o cutie de rezonanță, având întinse pe una dintre fețe patru coarde, care vibrează când sunt atinse cu arcușul sau când sunt ciupite	Aparat construit pentru a produce sunete muzicale	2.68	3.9
tabără	cabană	N	popas,tabără	cabană,camping	loc destinat pentru cazare temporară	Casă (la munte) construită de obicei, din lemn, care servește pentru adăpostirea turiștilor și a vânătorilor	3.0	2.33
in	țesătură	N	in	țesătură,material	Plantă erbacee textilă și oleaginoasă, cu tulpina subțire, ramificată în partea superioară, fibroasă, cu frunze mici, înguste și cu flori albastre sau albe, care are numeroase utilizări	Produs textil obținut la războaiele de țesut prin încrucișarea în unghi drept a unor fire de urzeală și de bătătură	1.68	3.33
